feature,importance,coef
customer.tenure,1.34221014081158,-1.34221014081158
internet.InternetService_Fiber optic,0.5640906339460391,0.5640906339460391
internet.InternetService_DSL,0.5010180231521374,-0.5010180231521374
account.Charges.Monthly,0.45754442236990694,-0.45754442236990694
Contract_num,0.36418406423161465,-0.36418406423161465
TotalCharges,0.32568546373180546,0.32568546373180546
account.Charges.Total,0.32568546373180546,0.32568546373180546
account.PaperlessBilling_No,0.27766695786470835,-0.27766695786470835
account.PaymentMethod_Electronic check,0.2722010140718593,0.2722010140718593
internet.TechSupport_No internet service,0.213789859181019,-0.213789859181019
internet.InternetService_No,0.213789859181019,-0.213789859181019
internet.OnlineBackup_No internet service,0.213789859181019,-0.213789859181019
internet.DeviceProtection_No internet service,0.213789859181019,-0.213789859181019
internet.OnlineSecurity_No internet service,0.213789859181019,-0.213789859181019
internet.StreamingTV_No internet service,0.213789859181019,-0.213789859181019
internet.StreamingMovies_No internet service,0.213789859181019,-0.213789859181019
internet.StreamingTV_Yes,0.2018760213101452,0.2018760213101452
phone.MultipleLines_No,0.19747814820359938,-0.19747814820359938
internet.StreamingMovies_Yes,0.19703089396193338,0.19703089396193338
internet.TechSupport_No,0.19078840651935935,0.19078840651935935
customer.Dependents_Yes,0.1834833426061913,-0.1834833426061913
account.Contract_Two year,0.16785904215512143,-0.16785904215512143
Contract_Two year,0.16785904215512143,-0.16785904215512143
account.PaymentMethod_Credit card (automatic),0.16064559914948107,-0.16064559914948107
internet.OnlineSecurity_No,0.14545647956430785,0.14545647956430785
account.PaymentMethod_Mailed check,0.14473854955358578,-0.14473854955358578
internet.StreamingTV_No,0.13880341051623157,-0.13880341051623157
internet.StreamingMovies_No,0.13395828316802075,-0.13395828316802075
internet.TechSupport_Yes,0.12771579572543776,-0.12771579572543776
account.PaperlessBilling_Yes,0.1269497094775951,0.1269497094775951
customer.gender_Male,0.11897746571420016,-0.11897746571420016
phone.PhoneService_Yes,0.11817768138777121,-0.11817768138777121
account.PaymentMethod_Bank transfer (automatic),0.11753411375589674,-0.11753411375589674
customer.Partner_Yes,0.0939825313945277,-0.0939825313945277
Contract_Month-to-month,0.08973073272652778,0.08973073272652778
account.Contract_Month-to-month,0.08973073272652778,0.08973073272652778
internet.OnlineSecurity_Yes,0.08238386877039648,-0.08238386877039648
phone.MultipleLines_Yes,0.07930046681579826,0.07930046681579826
internet.OnlineBackup_No,0.07895026721672117,0.07895026721672117
account.Contract_One year,0.0725889389585038,-0.0725889389585038
Contract_One year,0.0725889389585038,-0.0725889389585038
customer.SeniorCitizen,0.06779898499400588,0.06779898499400588
customer.Partner_No,0.05673471699258497,-0.05673471699258497
internet.DeviceProtection_Yes,0.0390452881735949,0.0390452881735949
customer.Dependents_No,0.03276609421908416,0.03276609421908416
phone.PhoneService_No,0.03253956699933001,-0.03253956699933001
phone.MultipleLines_No phone service,0.03253956699933001,-0.03253956699933001
customer.gender_Female,0.03173978267290219,-0.03173978267290219
internet.DeviceProtection_No,0.024027322620325885,0.024027322620325885
internet.OnlineBackup_Yes,0.015877656422814225,-0.015877656422814225
